Ticker,TATACOMM,TATACONSUM,TATAINVEST,TATAMOTORS,TATAMOTORS_COMM,TATAMOTORS_PASS,TATAPOWER,TATASTEEL,TATATECH,TCS
TATACOMM,1.0,0.23945126951193513,0.18577560565592088,0.24138759631362217,0.2598445625614315,0.28597134574922184,0.28648702909004786,0.3251775176145231,0.2951165070469285,0.21084721193255743
TATACONSUM,0.23945126951193513,1.0,0.19382078810789272,0.3199046048888671,0.11975898928956104,0.2657331136504606,0.26106723602701615,0.27179643897974076,0.19874050731242784,0.16640892360764878
TATAINVEST,0.18577560565592088,0.19382078810789272,1.0,0.2834352142289372,0.40341543980396843,0.3513540252498829,0.23688521678577806,0.22957433731999774,0.18076082068864707,0.12034075506956393
TATAMOTORS,0.24138759631362217,0.3199046048888671,0.2834352142289372,1.0,,0.9872467197250571,0.34837817603714893,0.4401674909745166,,0.08378457747505515
TATAMOTORS_COMM,0.2598445625614315,0.11975898928956104,0.40341543980396843,,1.0,0.6109201773798861,0.3639931054450462,0.4573671843134598,0.30086141185119664,0.15941837625690514
TATAMOTORS_PASS,0.28597134574922184,0.2657331136504606,0.3513540252498829,0.9872467197250571,0.6109201773798861,1.0,0.3191452388101867,0.4250674518585854,0.3226813740477004,0.2452622934421742
TATAPOWER,0.28648702909004786,0.26106723602701615,0.23688521678577806,0.34837817603714893,0.3639931054450462,0.3191452388101867,1.0,0.359335944348231,0.4164475298943672,0.1609879251719364
TATASTEEL,0.3251775176145231,0.27179643897974076,0.22957433731999774,0.4401674909745166,0.4573671843134598,0.4250674518585854,0.359335944348231,1.0,0.34436668653020697,0.22274755152847636
TATATECH,0.2951165070469285,0.19874050731242784,0.18076082068864707,,0.30086141185119664,0.3226813740477004,0.4164475298943672,0.34436668653020697,1.0,0.28506160621120896
TCS,0.21084721193255743,0.16640892360764878,0.12034075506956393,0.08378457747505515,0.15941837625690514,0.2452622934421742,0.1609879251719364,0.22274755152847636,0.28506160621120896,1.0
